text,label
Uwielbiam ten film jest fantastyczny,pozytywny
Świetny produkt polecam każdemu,pozytywny
To był cudowny dzień jestem bardzo szczęśliwy,pozytywny
Rewelacyjna obsługa klienta jestem zadowolony,pozytywny
Najlepszy zakup w moim życiu,pozytywny
To był zwykły dzień w pracy,neutralny
Pogoda jest dziś pochmurna,neutralny
Spotkanie odbyło się zgodnie z planem,neutralny
Kupiłem nowy telefon jest standardowy,neutralny
Film trwał dwie godziny,neutralny
Ten produkt jest fatalny nie polecam,negatywny
Jestem bardzo rozczarowany jakością,negatywny
Okropna obsługa najgorsze doświadczenie,negatywny
Produkt przyszedł uszkodzony,negatywny
Strata pieniędzy beznadziejny zakup,negatywny
